var,label
HA0,家庭人口数 [整数]：___人 注：需满足“最近一年1/2以上的时间在一起吃饭”的条件，才属于家 庭成员。本调查对家庭成员的定
HB1,家庭拥有的摩托车/电动自行车数量：___辆
HB2,家庭拥有的汽车/电动汽车数量：___辆
HB3,家庭拥有的三轮车/电动三轮车/拖拉机/手扶拖拉机 /农用运输车数量：___辆
HB4,家庭拥有的台式电脑/笔记本电脑数量：___台
HB5,家庭是否安装宽带：___ [01是  02否]
HB6,若已安装宽带，是哪年安装的：___
HB7,家庭网络条件：_ [01非常好，信号很好，不怎么断网 02可以，信号弱，偶尔断网  03较差，经常断网]
HB8,家庭拥有冰箱的数量：___台
HB9,HB9
agri_business_income,agri_business_income
allNum,问卷应填题项数
annual_expense_total,annual_expense_total
caichanshouru_1,房屋出租收入：___元
caichanshouru_2,土地出租收入：___ 元
caichanshouru_3,其他固定资产（机械、设备等）出租收入：___ 元
caichanshouru_4,村集体、合作社分红收入：___元
caichanshouru_5,存款、理财、国债等利息收入和股票等投资收入：___元
caichanzhichu_1,借款利息支出：___元 注：年支出折算到每月。
caichanzhichu_2,宅基地使用费：___元 注：年支出折算到每月。
caichanzhichu_3,土地承包费：___元 注：年支出折算到每月。
caichanzhichu_4,承包租赁村集体资产支出：___元 注：年支出折算到每月。
caichanzhichu_5,其他财产性支出：___元 注：年支出折算到每月。 注：本部分是家庭支出需要计算每个家庭成员的不仅仅是受访者本人的支出。如果是每
cha_cons_monthly_jin,茶｜月消费量（斤；按模块列名 token 汇总各子表 *_total；与 clean_food 口径一致；rigorous 重算）
cha_price_wavg_yuan_per_jin,茶｜加权平均价格（元/斤；Σ月花费/Σ月购买量；rigorous 重算，负花费已置0）
cha_self_suff_rate,茶｜食物自给率（月自家生产食用量/月总消费量；>1 截断为1；rigorous 重算）
cha_selfprod_monthly_total,茶｜月自家生产食用量（斤；题07 按提问频率折月后按 token 汇总；rigorous 重算）
county,调查地所在县（代码）
countyn,调查地所在县
createBy,录入人
createTime,录入时间
danlei_cons_monthly_jin,蛋类及加工品｜月消费量（斤；按模块列名 token 汇总各子表 *_total；与 clean_food 口径一致；rigorous 重算）
danlei_price_wavg_yuan_per_jin,蛋类及加工品｜加权平均价格（元/斤；Σ月花费/Σ月购买量；rigorous 重算，负花费已置0）
danlei_self_suff_rate,蛋类及加工品｜食物自给率（月自家生产食用量/月总消费量；>1 截断为1；rigorous 重算）
danlei_selfprod_monthly_total,蛋类及加工品｜月自家生产食用量（斤；题07 按提问频率折月后按 token 汇总；rigorous 重算）
dannai_shengchan_01_dannaipd_1,蛋鸡和鸡蛋｜年初存栏数量（头/只）
dannai_shengchan_01_dannaipd_2,蛋鸭和鸭蛋｜年初存栏数量（头/只）
dannai_shengchan_01_dannaipd_3,蛋鹅和鹅蛋｜年初存栏数量（头/只）
dannai_shengchan_01_dannaipd_4,奶牛和牛奶｜年初存栏数量（头/只）
dannai_shengchan_02_dannaipd_1,蛋鸡和鸡蛋｜年末存栏数量（头/只）
dannai_shengchan_02_dannaipd_2,蛋鸭和鸭蛋｜年末存栏数量（头/只）
dannai_shengchan_02_dannaipd_3,蛋鹅和鹅蛋｜年末存栏数量（头/只）
dannai_shengchan_02_dannaipd_4,奶牛和牛奶｜年末存栏数量（头/只）
dannai_shengchan_03_dannaipd_1,蛋鸡和鸡蛋｜淘汰/宰杀数量（头/只）
dannai_shengchan_03_dannaipd_2,蛋鸭和鸭蛋｜淘汰/宰杀数量（头/只）
dannai_shengchan_03_dannaipd_3,蛋鹅和鹅蛋｜淘汰/宰杀数量（头/只）
dannai_shengchan_03_dannaipd_4,奶牛和牛奶｜淘汰/宰杀数量（头/只）
dannai_shengchan_04_dannaipd_1,蛋鸡和鸡蛋｜宰杀的出售金额（元）
dannai_shengchan_04_dannaipd_2,蛋鸭和鸭蛋｜宰杀的出售金额（元）
dannai_shengchan_04_dannaipd_3,蛋鹅和鹅蛋｜宰杀的出售金额（元）
dannai_shengchan_04_dannaipd_4,奶牛和牛奶｜宰杀的出售金额（元）
dannai_shengchan_05_dannaipd_1,蛋鸡和鸡蛋｜宰杀的出售单价（元/斤）
dannai_shengchan_05_dannaipd_2,蛋鸭和鸭蛋｜宰杀的出售单价（元/斤）
dannai_shengchan_05_dannaipd_3,蛋鹅和鹅蛋｜宰杀的出售单价（元/斤）
dannai_shengchan_05_dannaipd_4,奶牛和牛奶｜宰杀的出售单价（元/斤）
dannai_shengchan_06_dannaipd_1,蛋鸡和鸡蛋｜宰杀的出售的重量（毛重，斤）
dannai_shengchan_06_dannaipd_2,蛋鸭和鸭蛋｜宰杀的出售的重量（毛重，斤）
dannai_shengchan_06_dannaipd_3,蛋鹅和鹅蛋｜宰杀的出售的重量（毛重，斤）
dannai_shengchan_06_dannaipd_4,奶牛和牛奶｜宰杀的出售的重量（毛重，斤）
dannai_shengchan_07_dannaipd_1,蛋鸡和鸡蛋｜宰杀留作自家食用/送礼的数量（头/只）
dannai_shengchan_07_dannaipd_2,蛋鸭和鸭蛋｜宰杀留作自家食用/送礼的数量（头/只）
dannai_shengchan_07_dannaipd_3,蛋鹅和鹅蛋｜宰杀留作自家食用/送礼的数量（头/只）
dannai_shengchan_07_dannaipd_4,奶牛和牛奶｜宰杀留作自家食用/送礼的数量（头/只）
dannai_shengchan_08_dannaipd_1,蛋鸡和鸡蛋｜宰杀留作自家食用的重量（毛重，斤）
dannai_shengchan_08_dannaipd_2,蛋鸭和鸭蛋｜宰杀留作自家食用的重量（毛重，斤）
dannai_shengchan_08_dannaipd_3,蛋鹅和鹅蛋｜宰杀留作自家食用的重量（毛重，斤）
dannai_shengchan_08_dannaipd_4,奶牛和牛奶｜宰杀留作自家食用的重量（毛重，斤）
dannai_shengchan_09_dannaipd_1,蛋鸡和鸡蛋｜宰杀用来送礼的重量（毛重，斤）
dannai_shengchan_09_dannaipd_2,蛋鸭和鸭蛋｜宰杀用来送礼的重量（毛重，斤）
dannai_shengchan_09_dannaipd_3,蛋鹅和鹅蛋｜宰杀用来送礼的重量（毛重，斤）
dannai_shengchan_09_dannaipd_4,奶牛和牛奶｜宰杀用来送礼的重量（毛重，斤）
dannai_shengchan_10_dannaipd_1,蛋鸡和鸡蛋｜主产品（蛋、奶）出售数量（斤）
dannai_shengchan_10_dannaipd_2,蛋鸭和鸭蛋｜主产品（蛋、奶）出售数量（斤）
dannai_shengchan_10_dannaipd_3,蛋鹅和鹅蛋｜主产品（蛋、奶）出售数量（斤）
dannai_shengchan_10_dannaipd_4,奶牛和牛奶｜主产品（蛋、奶）出售数量（斤）
dannai_shengchan_11_dannaipd_1,蛋鸡和鸡蛋｜主产品（蛋、奶）出售金额（元）
dannai_shengchan_11_dannaipd_2,蛋鸭和鸭蛋｜主产品（蛋、奶）出售金额（元）
dannai_shengchan_11_dannaipd_3,蛋鹅和鹅蛋｜主产品（蛋、奶）出售金额（元）
dannai_shengchan_11_dannaipd_4,奶牛和牛奶｜主产品（蛋、奶）出售金额（元）
dannai_shengchan_12_dannaipd_1,蛋鸡和鸡蛋｜主产品（蛋、奶）留作自家食用的数量（斤）
dannai_shengchan_12_dannaipd_2,蛋鸭和鸭蛋｜主产品（蛋、奶）留作自家食用的数量（斤）
dannai_shengchan_12_dannaipd_3,蛋鹅和鹅蛋｜主产品（蛋、奶）留作自家食用的数量（斤）
dannai_shengchan_12_dannaipd_4,奶牛和牛奶｜主产品（蛋、奶）留作自家食用的数量（斤）
dannai_shengchan_13_dannaipd_1,蛋鸡和鸡蛋｜如果不好计算留作自家食用的数量，每天的主产品（蛋、奶）产量（斤）
dannai_shengchan_13_dannaipd_2,蛋鸭和鸭蛋｜如果不好计算留作自家食用的数量，每天的主产品（蛋、奶）产量（斤）
